slot,count_cg,label_petir,t_500,t_700,t_850,z_1000,r_500,r_700,r_850,w_700,cape,msl,tcc,d2m,tcrw,u500,u850,v500,v850,sp,u10,v10,t2m
2022-01-05 03:00:00,0,0,267.3965,283.39136,290.64798,975.04614,68.08772,58.912292,79.97751,-0.0368042,70.75,101132.375,0.20657349,295.90057,0.0034179688,3.3687744,1.5630798,1.9404907,-0.5601654,100709.125,-0.22294617,-0.6214142,303.00098
2022-01-05 06:00:00,0,0,267.8589,282.7049,290.83475,834.00757,61.8786,75.21399,88.46562,0.05142498,112.375,100966.75,0.42266846,295.94894,0.0078125,4.0816956,1.9132233,0.88801575,-0.26228333,100544.69,1.1931152,-1.9526672,304.4256
2022-01-05 09:00:00,6,1,268.8239,282.71564,291.15018,694.36597,50.07852,79.40387,86.19484,0.103307724,336,100802.75,0.13595581,296.30222,0.0012207031,3.868866,2.9798126,0.81770325,1.569519,100382.19,2.408615,-1.0655212,304.48224
2022-01-05 12:00:00,21,1,268.09583,282.712,291.03696,822.9258,60.501953,81.10712,95.14804,-0.062314034,657.5,100953.19,0.42196655,297.2907,0.00036621094,3.8132782,2.0166473,3.221054,1.4194336,100531.06,1.1133423,-1.5802612,300.98108
2022-01-05 15:00:00,0,0,267.9452,282.39774,290.4773,1007.39453,62.26294,80.27916,96.87953,-0.010899544,829.75,101172.875,0.6820984,297.13684,0.0204467775,1.572525,2.742157,2.991806,1.0451813,100748.81,0.33236694,-1.3352814,299.7401
2022-01-05 18:00:00,0,0,267.30234,282.49997,290.8175,968.7617,66.82866,81.73863,89.906494,-0.20752048,824.625,101130.81,0.5621033,296.90326,0.0007324219,1.3516083,3.716385,3.2093964,0.18687439,100706.625,0.26272583,-0.1334076,298.5381
2022-01-05 21:00:00,0,0,267.0521,282.21716,290.42462,927.83594,69.43555,87.407135,89.09099,0.121525764,800,101083.5,0.8045044,296.4441,0.0059814453,0.8957825,5.226593,3.5206451,0.77908325,100658.125,0.64356995,0.17204285,297.54724
2022-01-06 00:00:00,0,0,267.5851,282.6291,290.9892,1006.8164,56.758057,80.775345,76.21532,-0.13020325,498.125,101176.56,0.6802063,297.2209,0,-1.3223572,5.0036316,3.7553558,1.4316406,100751.94,0.22901917,1.07164,298.3067
2022-01-06 03:00:00,0,0,267.04285,282.73398,291.18057,1070.0938,54.402573,79.48514,75.106766,0.21306705,1260.609375,101242.31,0.3751526,297.5014,0,-0.69273376,4.9348145,3.9663086,0.52656555,100818.375,0.77342224,-0.40066528,302.64117
2022-01-06 06:00:00,322,1,268.0211,282.5347,291.15424,878.2461,44.473587,80.189514,81.27745,-0.11556625,852.875,101016,0.6463318,297.46796,0.012939453,-1.9413147,5.7749786,4.084381,0.10066223,100594,2.4125366,-2.3879547,303.54633
